annotation_dataset	contig	gene	start_position	end_position	strandedness	AMG	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_id	cazy_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	virsorter_category	auxiliary_score	is_transposon	amg_flags	AMG_gene_id	AMG_gene_description	AMG_category	AMG_header	AMG_subheader	AMG_module	ARAGORN_tRNA_count	ARAGORN_tRNA_species
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_7	4652	4924	+		C	spas:STP1_1485		spas:STP1_1485  pathogenicity island protein	False	0.867	164.0	2.411e-45																				0.0	1.0	2.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_8	4921	5091	+		E																											0.0	2.0	2.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_9	5084	5434	+		C	scoh:BZ166_01660		scoh:BZ166_01660  hypothetical protein	False	0.549	120.0	2.735e-29																				0.0	2.0	2.0	False									
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_10	5435	5731	+		C	saua:SAAG_01247		saua:SAAG_01247  pathogenicity island protein	False	0.525	100.0	1.232e-22														Protein of unknown function (DUF1474) [PF07342.14]						0.0	2.0	2.0	False									
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_11	5785	6690	+		C	swa:A284_11325		swa:A284_11325  hypothetical protein	False	0.591	328.0	6.55e-98	YP_009840420.1	YP_009840420.1 nucleoside triphosphate hydrolase [Bacillus phage Wes44]	False	0.282	70.0	5.547e-12								Primase C terminal 1 (PriCT-1) [PF08708.14]						0.0	1.0	2.0	False									
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_12	6704	8416	+		A	swa:A284_11320		swa:A284_11320  pathogenicity island protein	True	0.677	731.0	2.037e-232														Domain of unknown function (DUF927) [PF06048.14]			VOG00014	sp|P04520|PRIM_BPT4 DNA primase; XhXr	Xr;Xh	0.0	1.0	2.0	False	V								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_13	8699	9046	+		C	saue:RSAU_001852		saue:RSAU_001852  mobile element-associated protein, putative	False	0.417	90.0	7.092e-19																				0.0	1.0	2.0	False									
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_14	9488	9805	+		C	ssif:AL483_07400		ssif:AL483_07400  pathogenicity island protein	False	0.481	96.0	4.002e-21																				0.0	2.0	2.0	False									
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_15	9819	10364	+		C	sha:SH2571		sha:SH2571  unnamed protein product; similar to unknown protein	False	0.313	64.0	3.498e-09																				0.0	2.0	2.0	False									
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_16	10383	11021	+		C	sut:SAT0131_00867		sut:SAT0131_00867  hypothetical protein	False	0.543	220.0	2.148e-62																				0.0	2.0	2.0	False									
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_17	11042	11194	+		C	sha:SH2336		sha:SH2336  unnamed protein product; hypothetical protein, similar to phage phi187 cell hydrolase Ply187	False	0.749	61.0	5.54e-10																				0.0	1.0	2.0	False									
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_18	11504	13249	+		A	sha:SH2336		sha:SH2336  unnamed protein product; hypothetical protein, similar to phage phi187 cell hydrolase Ply187	True	0.556	623.0	1.038e-194	YP_009592477.1	YP_009592477.1 lysin [Enterococcus phage VD13]	False	0.322	60.0	2.261e-08	MER0078549	C51	MER0078549 - family C51 unassigned peptidases () [C51.UPW]#C51#{peptidase unit: 7-133}~source AAX91646~	False	0.701	107.0	3.9459999999999996e-22	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [PF01832.23]; CHAP domain [PF05257.19]	GH73	GH73 lysozyme (EC 3.2.1.17); mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-)	VOG10858	REFSEQ tail tip protein; Xu	Xu	0.0	0.0	2.0	False	MKAP								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_19	13261	13827	+		C	sha:SH2569		sha:SH2569  unnamed protein product; hypothetical protein, similar to bacteriophage terminase small subunit	False	0.662	246.0	6.988000000000001e-72	NP_795682.1	NP_795682.1 putative terminase small subunit [Streptococcus phage 315.6]	False	0.344	89.0	2.312e-19								Terminase small subunit [PF03592.19]			VOG06458	sp|P68928|TERS_BPSF6 Terminase small subunit; Xr	Xr	0.0	0.0	4.0	False	V								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_20	13956	14570	+		C	ssif:AL483_07380		ssif:AL483_07380  hypothetical protein	False	0.35	113.0	1.8860000000000002e-25																				0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_21	14591	15403	+		C	sauc:CA347_412		sauc:CA347_412  hypothetical protein	False	0.423	131.0	9.927000000000001e-31																				0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_22	15722	15862	-		C	ssp:SSP2370		ssp:SSP2370  hypothetical protein	False	0.89	88.0	1.313e-19																				0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_23	15945	16106	-		C	ssp:SSP2369		ssp:SSP2369  hypothetical protein	False	0.883	87.0	3.569e-19																				0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_24	16131	16337	-		C	ssp:SSP2368		ssp:SSP2368  hypothetical protein	False	0.855	123.0	2.2180000000000003e-31																				0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_25	16915	17037	+		C	ssp:SSP2365		ssp:SSP2365  hypothetical protein	False	0.869	75.0	3.431e-15																				0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_26	17136	17429	+		C	ssp:SSP2364		ssp:SSP2364  hypothetical protein	False	0.88	165.0	1.801e-45																				0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_27	17573	17986	-		C	ssp:SSP2363		ssp:SSP2363  conserved hypothetical protein	False	0.939	272.0	8.028e-82														Protein of unknown function (DUF1093) [PF06486.14]						0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_28	18580	18924	+		C	ssp:SSP2361		ssp:SSP2361  conserved hypothetical protein	False	0.865	207.0	1.145e-59														Domain of unknown function (DUF4260) [PF14079.9]						0.0	2.0	4.0	False	F								
DRAMv	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343	Sample_10_contig_89_1__excised_start_41240_end_60603_len_82343_29	18966	19364	+		C	ssp:SSP2360		ssp:SSP2360  hypothetical protein	False	0.945	222.0	1.207e-64																				0.0	2.0	5.0	False	F								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_1	128	448	-		C	ekb:BFV64_15365		ekb:BFV64_15365  hypothetical protein	False	0.92	206.0	1.4619999999999999e-59																	VOG02623	sp|P0AG11|UMUD_ECOLI Protein UmuD; Xh	Xh	0.0	2.0	5.0	False	F								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_2	448	687	-		C	ekb:BFV64_10550		ekb:BFV64_10550  hypothetical protein	False	0.92	154.0	3.8190000000000003e-42																	VOG09852	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	4.0	False	F								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_3	773	1039	+		C	eun:UMNK88_3274		eun:UMNK88_3274  virulence protein msgA	False	0.917	171.0	1.009e-47														DinI-like family [PF06183.16]			VOG01944	sp|P41063|TUM_BP186 SOS operon TUM protein; Xu	Xu	0.0	1.0	2.0	False	F								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_4	1081	2412	-		C	eclx:LI66_08860		eclx:LI66_08860  tail protein	False	0.623	546.0	1.229e-170	YP_009152863.1	YP_009152863.1 putative tail fiber [Escherichia phage vB_EcoP_SU10]	False	0.24	99.0	9.127e-21											VOG00451	REFSEQ glycerophosphoryl diesterphosphodiesterase; Xu	Xu	0.0	0.0	2.0	False	F								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_5	2473	3393	-		C	ecly:LI62_09630		ecly:LI62_09630  hypothetical protein	False	0.936	602.0	7.337e-193	YP_007112630.1	YP_007112630.1 hypothetical protein F843_gp23 [Escherichia phage HK578]	False	0.261	111.0	1.4180000000000001e-25								Family of unknown function (DUF6453) [PF20051.2]			VOG06116	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False	F								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_6	3440	7273	-		C	ekb:BFV64_07675		ekb:BFV64_07675  host specificity protein	False	0.901	2399.0	0.0	NP_945050.1	NP_945050.1 tail protein [Burkholderia phage phi1026b]	False	0.378	803.0	9.889999999999999e-248								Domain of unknown function (DUF1983) [PF09327.14]; Fibronectin type III protein [PF12421.11]			VOG00029	sp|Q6QGE9|BPPB3_BPT5 Probable baseplate hub protein; XhXs	Xh;Xs	0.0	0.0	1.0	False	VF								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_7	7437	8069	+		C	pfl:PFL_6275		pfl:PFL_6275  Hypothetical protein	False	0.483	188.0	2.309e-51																				0.0	2.0	1.0	False									
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_8	8154	8747	-		C	enx:NI40_008835		enx:NI40_008835  phage tail protein	False	0.776	317.0	3.231000000000001e-96	NP_945049.1	NP_945049.1 gp19 [Burkholderia phage phi1026b]	False	0.469	170.0	3.017e-47								Bacteriophage lambda tail assembly protein I [PF06805.15]			VOG02548	sp|O64334|TIPI_BPN15 Tail tip assembly protein I; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_9	8810	9349	-		C	srl:SOD_c35980		srl:SOD_c35980  hypothetical protein	False	0.59	162.0	6.66e-43																	VOG09883	REFSEQ hypothetical protein; Xu	Xu	0.0	1.0	1.0	False									
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_10	9318	9827	-		C	ear:CCG33849		ear:CCG33849  ORF45	False	0.809	281.0	2.575e-84	YP_009909753.1	YP_009909753.1 hypothetical protein H3V32_gp46 [Escherichia phage 2H10]	False	0.41	74.0	9.237e-15								KilA-N domain [PF04383.16]						0.0	1.0	1.0	False									
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_11	9993	10703	-		C	ekb:BFV64_07660		ekb:BFV64_07660  peptidase P60	False	1.0	517.0	7.367e-165	YP_007112719.1	YP_007112719.1 hypothetical protein B508_00270 [Escherichia phage ADB-2]	False	0.5	218.0	2.4050000000000002e-63	MER0095418	C40	MER0095418 - family C40 unassigned peptidases (Enterobacter sp. 638) [C40.UPW]#C40#{peptidase unit: 114-206}~source YP_001176946~	False	1.0	205.0	2.793e-58	Prokaryotic homologs of the JAB domain [PF14464.9]; NlpC/P60 family [PF00877.22]						0.0	0.0	1.0	False	P								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_12	10705	11460	-		C	enc:ECL_01712		enc:ECL_01712  gp18	False	0.932	492.0	6.351e-156	NP_945047.1	NP_945047.1 minor tail protein L [Burkholderia phage phi1026b]	False	0.463	206.0	7.454e-59								Phage minor tail protein L [PF05100.15]			VOG00348	sp|O64332|TIPL_BPN15 Tail tip protein L; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	2.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_13	11457	11804	-		C	enc:ECL_01711		enc:ECL_01711  gp17	False	0.837	201.0	1.375e-57	NP_945045.1	NP_945045.1 tail protein [Burkholderia phage phi1026b]	False	0.408	68.0	2.886e-13								Phage minor tail protein [PF05939.16]			VOG01442	sp|P03737|TIPM_LAMBD Tail tip protein M; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_14	11810	14326	-		C	enc:ECL_01710		enc:ECL_01710  gp16	False	0.873	1520.0	0.0	YP_009909723.1	YP_009909723.1 Phage tail length tape-measure protein 1 [Escherichia phage 2H10]	False	0.535	847.0	1.416e-269								Prophage tail length tape measure protein [PF06791.16]; Lambda phage tail tape-measure protein (Tape_meas_lam_C) [PF09718.13]			VOG01399	sp|Q6XQC4|TMP_BPT1 Tape measure protein; XpXrXs	Xp;Xr;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_15	14304	14624	-		C	eclg:EC036_24620		eclg:EC036_24620  phage tail assembly protein T	False	0.983	222.0	4.727e-65	YP_009909722.1	YP_009909722.1 Phage minor tail protein [Escherichia phage 2H10]	False	0.676	144.0	6.154e-40								Minor tail protein T [PF06223.15]			VOG07927	sp|P03735|GT_LAMBD Tail assembly protein GT; XhXrXs	Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_16	14633	15055	-		C	enc:ECL_01708		enc:ECL_01708  gp14	False	0.875	257.0	2.066e-76	YP_009909721.1	YP_009909721.1 Phage minor tail protein [Escherichia phage 2H10]	False	0.392	97.0	5.747999999999999e-23								Bacteriophage lambda tail assembly chaperone, TAC, protein G [PF06894.14]			VOG07926	sp|O64328|G_BPN15 Tail assembly protein G; XhXrXs	Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_17	15094	15831	-		C	enc:ECL_01707		enc:ECL_01707  gp13	False	0.919	473.0	3.362000000000001e-149	YP_009909504.1	YP_009909504.1 Putative tail component of prophage CP-933K [Escherichia virus Lambda_1H12]	False	0.641	311.0	2.715e-95								Lambda phage tail tube protein, TTP [PF16461.8]; Bacterial Ig-like domain (group 2) [PF02368.21]; Phage tail tube protein, TTP [PF08813.14]						0.0	0.0	1.0	False									
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_18	15839	16237	-		C	eclg:EC036_24650		eclg:EC036_24650  minor tail protein U	False	0.949	265.0	1.353e-79	YP_009909503.1	YP_009909503.1 Phage Tc1 tail completion protein [Escherichia virus Lambda_1H12]	False	0.733	198.0	3.276e-58								Phage minor tail protein U [PF06141.14]			VOG07925	sp|O64326|TTTP_BPN15 Tail tube terminator protein; XhXpXrXs	Xp;Xr;Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_19	16234	16788	-		C	lei:C2U54_14250		lei:C2U54_14250  phage tail protein	False	0.88	339.0	5.143e-104	YP_009909502.1	YP_009909502.1 Phage Ne1 neck protein [Escherichia virus Lambda_1H12]	False	0.564	210.0	2.681e-61								Prophage minor tail protein Z (GPZ) [PF06763.14]			VOG00349	sp|O64325|COMPL_BPN15 Tail completion protein; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_20	16798	17151	-		C	eclg:EC036_24660		eclg:EC036_24660  Gp10	False	0.927	229.0	1.9949999999999997e-67	YP_009909717.1	YP_009909717.1 Phage Hc1 head completion protein [Escherichia phage 2H10]	False	0.683	162.0	4.978e-46								Phage Head-Tail Attachment [PF05354.14]			VOG01591	sp|O64324|FII_BPN15 Head-tail joining protein; XhXs	Xh;Xs	1.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_21	17162	17623	-		C	eclg:EC036_24670		eclg:EC036_24670  Gp9	False	0.618	187.0	5.095e-52	YP_009909716.1	YP_009909716.1 Phage DNA-packaging protein [Escherichia phage 2H10]	False	0.322	78.0	4.503e-16								DNA packaging protein FI [PF14000.9]			VOG07924	sp|P03709|FI_LAMBD DNA-packaging protein FI; Xr	Xr	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_22	17669	18694	-		C	eclg:EC036_24680		eclg:EC036_24680  Gp8	False	0.927	664.0	1.679e-213	YP_009909715.1	YP_009909715.1 Phage major capsid protein [Escherichia phage 2H10]	False	0.881	626.0	1.426e-202								Phage major capsid protein E [PF03864.18]			VOG00599	sp|D6RRG1|CAPSD_BPKPP Major capsid protein; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_23	18762	19094	-		C	eclg:EC036_24690		eclg:EC036_24690  head decoration protein	False	0.923	215.0	1.698e-62	YP_009909498.1	YP_009909498.1 Head decoration protein [Escherichia virus Lambda_1H12]	False	0.674	150.0	4.7140000000000005e-42											VOG01521	sp|O64321|DECO7_BPN15 Putative decoration protein; XhXs	Xh;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_24	19104	20447	-		C	eclg:EC036_24700		eclg:EC036_24700  head maturation protease C	False	0.875	814.0	1.703e-263	YP_009909713.1	YP_009909713.1 Phage capsid and scaffold [Escherichia phage 2H10]	False	0.701	629.0	2.596e-201	MER1068094	S49A	MER1068094 - subfamily S49A unassigned non-peptidase homologues () [S49.UNA]#S49A#{peptidase unit: 108-353}~source E4WL22~	False	0.865	443.0	9.497e-137	Peptidase family S49 [PF01343.21]; Clp protease [PF00574.26]			VOG06264	sp|P03711|SCAF_LAMBD Capsid assembly protease C; XhXs	Xh;Xs	0.0	0.0	1.0	False	VP								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_25	20428	22020	-		C	ecd:ECDH10B_1349		ecd:ECDH10B_1349  B; head portal protein	False	0.959	1071.0	0.0	YP_009909712.1	YP_009909712.1 Phage portal protein [Escherichia phage 2H10]	False	0.873	959.0	5.771e-314								Phage portal protein, lambda family [PF05136.16]			VOG00946	sp|P36272|PORTL_BPP21 Portal protein B; XpXrXs	Xp;Xr;Xs	0.0	0.0	1.0	False	V								
DRAMv	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017	Sample_11_contig_3_0_partial_1__excised_start_9742_end_125891_len_309017_26	22017	22223	-		C	ecd:ECDH10B_1348		ecd:ECDH10B_1348  W; head-to-tail joining protein	False	0.909	132.0	2.083e-34	YP_009909495.1	YP_009909495.1 Phage Ad1 adapter protein(lambda gpW-like) [Escherichia virus Lambda_1H12]	False	0.813	116.0	4.121e-31								gpW [PF02831.18]			VOG06263	sp|P68659|VHTJ_ECOL6 Lambda prophage-derived head-to-tail joining protein W; Xu	Xu	0.0	0.0	1.0	False									
